timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763732246457,201,Buka Homepage,200,OK,TC-041 Homepage Access 1-1,text,true,,117305,116,2,2,http://localhost:3000/,196,0,72
1763732246566,108,Buka Homepage,200,OK,TC-041 Homepage Access 1-2,text,true,,117309,116,1,1,http://localhost:3000/,105,0,1
1763732246767,41,Buka Homepage,200,OK,TC-041 Homepage Access 1-3,text,true,,117305,116,1,1,http://localhost:3000/,40,0,1
1763732246965,42,Buka Homepage,200,OK,TC-041 Homepage Access 1-4,text,true,,117313,116,1,1,http://localhost:3000/,40,0,1
1763732247165,40,Buka Homepage,200,OK,TC-041 Homepage Access 1-5,text,true,,117313,116,1,1,http://localhost:3000/,38,0,1
1763732247365,44,Buka Homepage,200,OK,TC-041 Homepage Access 1-6,text,true,,117307,116,1,1,http://localhost:3000/,42,0,1
1763732247565,37,Buka Homepage,200,OK,TC-041 Homepage Access 1-7,text,true,,117309,116,1,1,http://localhost:3000/,35,0,2
1763732247765,32,Buka Homepage,200,OK,TC-041 Homepage Access 1-8,text,true,,117311,116,1,1,http://localhost:3000/,30,0,1
1763732247964,40,Buka Homepage,200,OK,TC-041 Homepage Access 1-9,text,true,,117309,116,1,1,http://localhost:3000/,39,0,1
1763732248164,34,Buka Homepage,200,OK,TC-041 Homepage Access 1-10,text,true,,117307,116,1,1,http://localhost:3000/,34,0,1
1763732248363,42,Buka Homepage,200,OK,TC-041 Homepage Access 1-11,text,true,,117311,116,1,1,http://localhost:3000/,41,0,1
1763732248564,33,Buka Homepage,200,OK,TC-041 Homepage Access 1-12,text,true,,117307,116,1,1,http://localhost:3000/,32,0,1
1763732248764,29,Buka Homepage,200,OK,TC-041 Homepage Access 1-13,text,true,,117307,116,1,1,http://localhost:3000/,28,0,1
1763732248964,29,Buka Homepage,200,OK,TC-041 Homepage Access 1-14,text,true,,117305,116,1,1,http://localhost:3000/,28,0,1
1763732249164,28,Buka Homepage,200,OK,TC-041 Homepage Access 1-15,text,true,,117307,116,1,1,http://localhost:3000/,27,0,1
1763732249364,29,Buka Homepage,200,OK,TC-041 Homepage Access 1-16,text,true,,117305,116,1,1,http://localhost:3000/,27,0,0
1763732249563,27,Buka Homepage,200,OK,TC-041 Homepage Access 1-17,text,true,,117307,116,1,1,http://localhost:3000/,26,0,1
1763732249764,38,Buka Homepage,200,OK,TC-041 Homepage Access 1-18,text,true,,117309,116,1,1,http://localhost:3000/,29,0,1
1763732249965,34,Buka Homepage,200,OK,TC-041 Homepage Access 1-19,text,true,,117309,116,1,1,http://localhost:3000/,32,0,1
1763732250165,38,Buka Homepage,200,OK,TC-041 Homepage Access 1-20,text,true,,117309,116,1,1,http://localhost:3000/,37,0,1
1763732250364,38,Buka Homepage,200,OK,TC-041 Homepage Access 1-21,text,true,,117305,116,1,1,http://localhost:3000/,37,0,2
1763732250565,31,Buka Homepage,200,OK,TC-041 Homepage Access 1-22,text,true,,117305,116,1,1,http://localhost:3000/,30,0,1
1763732250763,32,Buka Homepage,200,OK,TC-041 Homepage Access 1-23,text,true,,117305,116,1,1,http://localhost:3000/,31,0,1
1763732250964,37,Buka Homepage,200,OK,TC-041 Homepage Access 1-24,text,true,,117313,116,1,1,http://localhost:3000/,35,0,2
1763732251164,26,Buka Homepage,200,OK,TC-041 Homepage Access 1-25,text,true,,117307,116,1,1,http://localhost:3000/,25,0,1
1763732251364,29,Buka Homepage,200,OK,TC-041 Homepage Access 1-26,text,true,,117311,116,1,1,http://localhost:3000/,27,0,1
1763732251565,27,Buka Homepage,200,OK,TC-041 Homepage Access 1-27,text,true,,117309,116,1,1,http://localhost:3000/,27,0,1
1763732251765,31,Buka Homepage,200,OK,TC-041 Homepage Access 1-28,text,true,,117305,116,1,1,http://localhost:3000/,28,0,1
1763732251967,25,Buka Homepage,200,OK,TC-041 Homepage Access 1-29,text,true,,117305,116,1,1,http://localhost:3000/,24,0,1
1763732252164,26,Buka Homepage,200,OK,TC-041 Homepage Access 1-30,text,true,,117311,116,1,1,http://localhost:3000/,25,0,1
1763732252363,29,Buka Homepage,200,OK,TC-041 Homepage Access 1-31,text,true,,117305,116,1,1,http://localhost:3000/,28,0,1
1763732252563,28,Buka Homepage,200,OK,TC-041 Homepage Access 1-32,text,true,,117307,116,1,1,http://localhost:3000/,27,0,1
