timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763733063063,93,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-1,text,true,,101764,138,1,1,http://localhost:3000/search?keyword=Thermos,91,0,3
1763733063261,35,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-2,text,true,,101762,138,1,1,http://localhost:3000/search?keyword=Thermos,34,0,2
1763733063461,33,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-3,text,true,,101766,138,1,1,http://localhost:3000/search?keyword=Thermos,32,0,2
1763733063661,30,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-4,text,true,,101764,138,1,1,http://localhost:3000/search?keyword=Thermos,29,0,1
1763733063862,25,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-5,text,true,,101766,138,1,1,http://localhost:3000/search?keyword=Thermos,24,0,1
1763733064061,27,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-6,text,true,,101764,138,1,1,http://localhost:3000/search?keyword=Thermos,26,0,1
1763733064260,26,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-7,text,true,,101766,138,1,1,http://localhost:3000/search?keyword=Thermos,25,0,1
1763733064460,41,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-8,text,true,,101766,138,1,1,http://localhost:3000/search?keyword=Thermos,31,0,1
1763733064660,30,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-9,text,true,,101766,138,1,1,http://localhost:3000/search?keyword=Thermos,29,0,1
1763733064860,28,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-10,text,true,,101762,138,1,1,http://localhost:3000/search?keyword=Thermos,27,0,1
1763733065060,27,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-11,text,true,,101762,138,1,1,http://localhost:3000/search?keyword=Thermos,26,0,1
1763733065262,26,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-12,text,true,,101764,138,1,1,http://localhost:3000/search?keyword=Thermos,24,0,1
1763733065461,30,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-13,text,true,,101764,138,1,1,http://localhost:3000/search?keyword=Thermos,28,0,2
1763733065661,26,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-14,text,true,,101768,138,1,1,http://localhost:3000/search?keyword=Thermos,25,0,1
1763733065860,23,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-15,text,true,,101764,138,1,1,http://localhost:3000/search?keyword=Thermos,22,0,2
1763733066060,25,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-16,text,true,,101764,138,1,1,http://localhost:3000/search?keyword=Thermos,24,0,1
1763733066260,33,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-17,text,true,,101766,138,1,1,http://localhost:3000/search?keyword=Thermos,30,0,1
1763733066460,28,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-18,text,true,,101766,138,1,1,http://localhost:3000/search?keyword=Thermos,23,0,1
1763733066660,32,Cari Keyword Thermos,200,OK,TC-042 Search Product 1-19,text,true,,101762,138,1,1,http://localhost:3000/search?keyword=Thermos,30,0,1
