timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763735654177,94,Buka Homepage,200,OK,TC-045 Endurance Test 1-1,text,true,,117307,116,5,5,http://localhost:3000/,92,0,2
1763735654426,41,Buka Homepage,200,OK,TC-045 Endurance Test 1-2,text,true,,117305,116,6,6,http://localhost:3000/,40,0,1
1763735654677,44,Buka Homepage,200,OK,TC-045 Endurance Test 1-3,text,true,,117305,116,7,7,http://localhost:3000/,33,0,1
1763735654927,39,Buka Homepage,200,OK,TC-045 Endurance Test 1-4,text,true,,117307,116,8,8,http://localhost:3000/,29,0,0
1763735655176,35,Buka Homepage,200,OK,TC-045 Endurance Test 1-5,text,true,,117307,116,9,9,http://localhost:3000/,33,0,1
1763735655272,27,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-1,text,true,,108851,158,9,9,http://localhost:3000/accessories/stainless-steel-thermos-yellow,26,0,0
1763735655426,50,Buka Homepage,200,OK,TC-045 Endurance Test 1-6,text,true,,117307,116,10,10,http://localhost:3000/,41,0,1
1763735655467,33,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-2,text,true,,108849,158,10,10,http://localhost:3000/accessories/stainless-steel-thermos-yellow,32,0,0
1763735655676,34,Buka Homepage,200,OK,TC-045 Endurance Test 1-7,text,true,,117311,116,11,11,http://localhost:3000/,32,0,1
1763735655722,24,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-3,text,true,,108849,158,11,11,http://localhost:3000/accessories/stainless-steel-thermos-yellow,23,0,0
1763735655927,27,Buka Homepage,200,OK,TC-045 Endurance Test 1-8,text,true,,117309,116,12,12,http://localhost:3000/,26,0,1
1763735655967,22,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-4,text,true,,108853,158,12,12,http://localhost:3000/accessories/stainless-steel-thermos-yellow,21,0,0
1763735656176,42,Buka Homepage,200,OK,TC-045 Endurance Test 1-9,text,true,,117313,116,13,13,http://localhost:3000/,32,0,1
1763735656212,23,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-5,text,true,,108849,158,13,13,http://localhost:3000/accessories/stainless-steel-thermos-yellow,22,0,0
1763735656300,28,Buka Homepage,200,OK,TC-045 Endurance Test 1-1,text,true,,117307,116,13,13,http://localhost:3000/,26,0,0
1763735656427,28,Buka Homepage,200,OK,TC-045 Endurance Test 1-10,text,true,,117311,116,14,14,http://localhost:3000/,26,0,0
1763735656477,19,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-6,text,true,,108851,158,14,14,http://localhost:3000/accessories/stainless-steel-thermos-yellow,18,0,0
1763735656501,35,Buka Homepage,200,OK,TC-045 Endurance Test 1-2,text,true,,117307,116,14,14,http://localhost:3000/,26,0,0
1763735656676,32,Buka Homepage,200,OK,TC-045 Endurance Test 1-11,text,true,,117307,116,15,15,http://localhost:3000/,30,0,1
1763735656711,27,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-7,text,true,,108851,158,15,15,http://localhost:3000/accessories/stainless-steel-thermos-yellow,26,0,0
1763735656746,25,Buka Homepage,200,OK,TC-045 Endurance Test 1-3,text,true,,117309,116,15,15,http://localhost:3000/,24,0,0
1763735656927,28,Buka Homepage,200,OK,TC-045 Endurance Test 1-12,text,true,,117307,116,16,16,http://localhost:3000/,27,0,1
1763735656954,28,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-8,text,true,,108851,158,16,16,http://localhost:3000/accessories/stainless-steel-thermos-yellow,26,0,0
1763735656990,18,Buka Homepage,200,OK,TC-045 Endurance Test 1-4,text,true,,117307,116,16,16,http://localhost:3000/,17,0,0
1763735657176,28,Buka Homepage,200,OK,TC-045 Endurance Test 1-13,text,true,,117305,116,17,17,http://localhost:3000/,26,0,1
1763735657219,30,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-9,text,true,,108851,158,17,17,http://localhost:3000/accessories/stainless-steel-thermos-yellow,24,0,0
1763735657237,30,Buka Homepage,200,OK,TC-045 Endurance Test 1-5,text,true,,117315,116,17,17,http://localhost:3000/,29,0,0
1763735657329,22,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-1,text,true,,108849,158,17,17,http://localhost:3000/accessories/stainless-steel-thermos-yellow,21,0,0
1763735657426,30,Buka Homepage,200,OK,TC-045 Endurance Test 1-14,text,true,,117305,116,18,18,http://localhost:3000/,29,0,1
1763735657456,18,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-10,text,true,,108849,158,18,18,http://localhost:3000/accessories/stainless-steel-thermos-yellow,17,0,0
1763735657497,25,Buka Homepage,200,OK,TC-045 Endurance Test 1-6,text,true,,117307,116,18,18,http://localhost:3000/,24,0,0
1763735657536,19,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-2,text,true,,108851,158,18,18,http://localhost:3000/accessories/stainless-steel-thermos-yellow,18,0,0
1763735657676,26,Buka Homepage,200,OK,TC-045 Endurance Test 1-15,text,true,,117305,116,19,19,http://localhost:3000/,24,0,0
1763735657708,22,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-11,text,true,,108851,158,19,19,http://localhost:3000/accessories/stainless-steel-thermos-yellow,21,0,0
1763735657739,21,Buka Homepage,200,OK,TC-045 Endurance Test 1-7,text,true,,117307,116,19,19,http://localhost:3000/,20,0,0
1763735657772,21,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-3,text,true,,108855,158,19,19,http://localhost:3000/accessories/stainless-steel-thermos-yellow,20,0,0
1763735657925,32,Buka Homepage,200,OK,TC-045 Endurance Test 1-16,text,true,,117305,116,20,20,http://localhost:3000/,31,0,1
1763735657956,25,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-12,text,true,,108849,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,21,0,0
1763735657983,40,Buka Homepage,200,OK,TC-045 Endurance Test 1-8,text,true,,117305,116,20,20,http://localhost:3000/,37,0,0
1763735658009,44,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-4,text,true,,108851,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,42,0,0
1763735658176,24,Buka Homepage,200,OK,TC-045 Endurance Test 1-17,text,true,,117307,116,20,20,http://localhost:3000/,24,0,0
1763735658204,21,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-13,text,true,,108849,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,20,0,0
1763735658250,26,Buka Homepage,200,OK,TC-045 Endurance Test 1-9,text,true,,117307,116,20,20,http://localhost:3000/,21,0,0
1763735658267,23,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-5,text,true,,108851,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,22,0,0
1763735658353,21,Buka Homepage,200,OK,TC-045 Endurance Test 1-1,text,true,,117311,116,20,20,http://localhost:3000/,21,0,0
1763735658425,23,Buka Homepage,200,OK,TC-045 Endurance Test 1-18,text,true,,117311,116,20,20,http://localhost:3000/,23,0,1
1763735658457,23,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-14,text,true,,108851,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,20,0,0
1763735658476,25,Buka Homepage,200,OK,TC-045 Endurance Test 1-10,text,true,,117305,116,20,20,http://localhost:3000/,22,0,0
1763735658522,19,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-6,text,true,,108851,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,18,0,0
1763735658556,20,Buka Homepage,200,OK,TC-045 Endurance Test 1-2,text,true,,117311,116,20,20,http://localhost:3000/,20,0,0
1763735658676,26,Buka Homepage,200,OK,TC-045 Endurance Test 1-19,text,true,,117309,116,20,20,http://localhost:3000/,25,0,1
1763735658703,20,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-15,text,true,,108849,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,19,0,0
1763735658730,23,Buka Homepage,200,OK,TC-045 Endurance Test 1-11,text,true,,117307,116,20,20,http://localhost:3000/,22,0,0
1763735658760,17,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-7,text,true,,108851,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,16,0,0
1763735658794,21,Buka Homepage,200,OK,TC-045 Endurance Test 1-3,text,true,,117307,116,20,20,http://localhost:3000/,20,0,0
1763735658927,23,Buka Homepage,200,OK,TC-045 Endurance Test 1-20,text,true,,117305,116,20,20,http://localhost:3000/,22,0,1
1763735658958,18,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-16,text,true,,108849,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,17,0,0
1763735658982,20,Buka Homepage,200,OK,TC-045 Endurance Test 1-12,text,true,,117309,116,20,20,http://localhost:3000/,18,0,0
1763735659023,20,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-8,text,true,,108849,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,20,0,0
1763735659053,18,Buka Homepage,200,OK,TC-045 Endurance Test 1-4,text,true,,117313,116,20,20,http://localhost:3000/,17,0,0
1763735659201,24,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-17,text,true,,108853,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,23,0,0
1763735659226,17,Buka Homepage,200,OK,TC-045 Endurance Test 1-13,text,true,,117305,116,20,20,http://localhost:3000/,16,0,0
1763735659276,44,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-9,text,true,,108853,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,42,0,0
1763735659290,42,Buka Homepage,200,OK,TC-045 Endurance Test 1-5,text,true,,117305,116,20,20,http://localhost:3000/,40,0,0
1763735659382,23,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-1,text,true,,108853,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,21,0,0
1763735659449,23,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-18,text,true,,108849,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,22,0,0
1763735659480,19,Buka Homepage,200,OK,TC-045 Endurance Test 1-14,text,true,,117307,116,20,20,http://localhost:3000/,18,0,0
1763735659512,20,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-10,text,true,,108849,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,18,0,0
1763735659542,34,Buka Homepage,200,OK,TC-045 Endurance Test 1-6,text,true,,117309,116,20,20,http://localhost:3000/,33,0,0
1763735659581,27,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-2,text,true,,108857,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,26,0,0
1763735659707,26,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-19,text,true,,108851,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,23,0,0
1763735659730,21,Buka Homepage,200,OK,TC-045 Endurance Test 1-15,text,true,,117305,116,20,20,http://localhost:3000/,20,0,0
1763735659753,21,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-11,text,true,,108853,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,18,0,0
1763735659781,20,Buka Homepage,200,OK,TC-045 Endurance Test 1-7,text,true,,117305,116,20,20,http://localhost:3000/,19,0,0
1763735659816,19,Lihat Detail Produk,200,OK,TC-045 Endurance Test 1-3,text,true,,108853,158,20,20,http://localhost:3000/accessories/stainless-steel-thermos-yellow,18,0,0
